openalex_id,title,authors,institutions,source_title,publish_year,publish_date,doi,issn_l,document_type,is_open_access,times_cited,reference_count
W4365512576,"ChatGPT: A comprehensive review on background, applications, key challenges, bias, ethics, limitations and future scope",Partha Pratim Ray,Sikkim University,Internet of Things and Cyber-Physical Systems,2023,2023-01-01,10.1016/j.iotcps.2023.04.003,2667-3452,review,True,2293,227
W4386142022,Interpreting Black-Box Models: A Review on Explainable Artificial Intelligence,Vikas Hassija; Vinay Chamola; A. Mahapatra; Abhinandan Singal; Divyansh Goel; Kaizhu Huang; Simone Scardapane; Indro Spinelli; Mufti Mahmud; Amir Hussain,"Nottingham Trent University; Edinburgh Napier University; Sapienza University of Rome; Duke Kunshan University; KIIT University; Istituto Nazionale di Fisica Nucleare, Sezione di Roma I; Jaypee Institute of Information Technology; Birla Institute of Technology and Science, Pilani",Cognitive Computation,2023,2023-08-24,10.1007/s12559-023-10179-8,1866-9956,review,True,1531,135
W4205941964,"RETRACTED ARTICLE: Artificial intelligence in disease diagnosis: a systematic literature review, synthesizing framework and future research agenda",Yogesh Kumar; Apeksha Koul; Ruchi Singla; Muhammad Fazal Ijaz,Shri Mata Vaishno Devi University; Indus University; Sejong University,Journal of Ambient Intelligence and Humanized Computing,2022,2022-01-12,10.1007/s12652-021-03612-z,1868-5137,article,True,959,143
W4296913260,"Digital Twins: A Survey on Enabling Technologies, Challenges, Trends and Future Prospects",Stefan Mihai; Mahnoor Yaqoob; Đặng Việt Hưng; William Davis; Praveer Towakel; Mohsin Raza; Mehmet Karamanoglu; Balbir Barn; Dattaprasad Shetve; Raja V. Prasad; Hrishikesh Venkataraman; Ramona Trestian; Huan X. Nguyen,Indian Institute of Information Technology Sri City; Edge Hill University; Hanoi University of Civil Engineering; Middlesex University,IEEE Communications Surveys & Tutorials,2022,2022-01-01,10.1109/comst.2022.3208773,1553-877X,article,False,865,189
W4223918474,Comparative performance analysis of K-nearest neighbour (KNN) algorithm and its different variants for disease prediction,Shahadat Uddin; Ibtisham Haque; Haohui Lu; Mohammad Ali Moni; Ergun Gide,Central Queensland University; University of Queensland; University of Sydney,Scientific Reports,2022,2022-04-15,10.1038/s41598-022-10358-x,2045-2322,article,True,658,15
W4386222752,Redefining Radiology: A Review of Artificial Intelligence Integration in Medical Imaging,Reabal Najjar,Act Health; ACT Government; Services Australia,Diagnostics,2023,2023-08-25,10.3390/diagnostics13172760,2075-4418,review,True,657,107
W4290877962,Proceedings of the 28th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,,,,2022,2022-08-12,10.1145/3534678,,paratext,False,657,0
W4309484364,Artificial intelligence for the metaverse: A survey,Thien Huynh‐The; Quoc‐Viet Pham; Xuan‐Qui Pham; Thanh Thi Nguyen; Zhu Han; Dong‐Seong Kim,Pusan National University; Kumoh National Institute of Technology; Ho Chi Minh City University of Technology and Engineering; University of Houston; Deakin University,Engineering Applications of Artificial Intelligence,2022,2022-11-17,10.1016/j.engappai.2022.105581,0952-1976,article,False,647,179
W4387379065,The Potential of Generative Artificial Intelligence Across Disciplines: Perspectives and Future Directions,Keng‐Boon Ooi; Garry Wei‐Han Tan; Mostafa Al‐Emran; Mohammed A. Al‐Sharafi; Alexandru Căpățînă; Amrita Chakraborty; Yogesh K. Dwivedi; Tzu-Ling Huang; Arpan Kumar Kar; Voon‐Hsien Lee; Xiu-Ming Loh; Adrian Micu; Patrick Mikalef; Emmanuel Mogaji; Neeraj Pandey; Ramakrishnan Raman; Nripendra P. Rana; Prianka Sarker; Anshuman Sharma; Ching‐I Teng; Samuel Fosso Wamba; Lai‐Wan Wong,"UCSI University; Symbiosis International University; Universiti Tenaga Nasional; Norwegian University of Science and Technology; Keele University; Fore School of Management; National Central University; SINTEF Digital; College of Business Administration; Indian Institute of Technology Delhi; SINTEF; British University in Dubai; Chang Gung University; ""Dunarea de Jos"" University of Galati; Swinburne University of Technology Sarawak Campus; Ajman University; Dijlah University College; Universiti Tunku Abdul Rahman; Adamson University; Manchester Metropolitan University; TBS Education; Indian Institute of Management Ahmedabad; Xiamen University Malaysia; Swansea University; Qatar University",Journal of Computer Information Systems,2023,2023-10-05,10.1080/08874417.2023.2261010,0887-4417,article,False,620,93
W4281630308,"Significance of machine learning in healthcare: Features, pillars and applications",Mohd Javaid; Abid Haleem; Ravi Pratap Singh; Rajiv Suman; Shanay Rab,Dr. B. R. Ambedkar National Institute of Technology Jalandhar; Jamia Millia Islamia; Govind Ballabh Pant University of Agriculture and Technology,International Journal of Intelligent Networks,2022,2022-01-01,10.1016/j.ijin.2022.05.002,2666-6030,article,True,598,304
W4287834747,Artificial Intelligence (AI) and Internet of Medical Things (IoMT) Assisted Biomedical Systems for Intelligent Healthcare,Pandiaraj Manickam; Siva Ananth Mariappan; Sindhu Monica Murugesan; Shekhar Hansda; Ajeet Kaushik; Ravikumar B. Shinde; S. P. Thipperudraswamy,Academy of Scientific and Innovative Research; Florida Polytechnic University; Central Electrochemical Research Institute; University of Petroleum and Energy Studies,Biosensors,2022,2022-07-25,10.3390/bios12080562,2079-6374,review,True,567,133
W4291023040,Self-supervised learning in medicine and healthcare,Rayan Krishnan; Pranav Rajpurkar; Eric J. Topol,Scripps Research Institute; Stanford University; Harvard University,Nature Biomedical Engineering,2022,2022-08-11,10.1038/s41551-022-00914-1,2157-846X,review,False,559,56
W4224227775,Communication-efficient federated learning via knowledge distillation,Chuhan Wu; Fangzhao Wu; Lingjuan Lyu; Yongfeng Huang; Xing Xie,Sony Computer Science Laboratories; Microsoft Research Asia (China); Tsinghua University,Nature Communications,2022,2022-04-19,10.1038/s41467-022-29763-x,2041-1723,article,True,525,69
W4382394524,Algorithmic fairness in artificial intelligence for medicine and healthcare,Richard J. Chen; Judy J. Wang; Drew F. K. Williamson; Tiffany Chen; Jana Lipková; Ming Y. Lu; Sharifa Sahai; Faisal Mahmood,Massachusetts Institute of Technology; Center for Systems Biology; Dana-Farber/Harvard Cancer Center; Harvard University; Dana-Farber Cancer Institute; Brigham and Women's Hospital; Massachusetts General Hospital; Broad Institute; Harvard University Press,Nature Biomedical Engineering,2023,2023-06-28,10.1038/s41551-023-01056-8,2157-846X,review,True,523,312
W4210736086,A Review on Fairness in Machine Learning,Dana Pessach; Erez Shmueli,Tel Aviv University,ACM Computing Surveys,2022,2022-02-03,10.1145/3494672,0360-0300,review,False,513,164
